";;;;;;;;;;""CAMPEONATO PARAGUAYO - HOMENAJE A DON RODOLFO """"RUDY"""" HIEBL"";;;;;;;;;;;;;";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;13 y 14 de NOVIEMBRE de 2021 - BAHIA DE ASUNCION;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
OR;;bote;categoria;sexo;;carril 1;;;carril 2;;;carril 3;;;carril 4;;;carril 5;;;carril 6
1;2000;4-;MASTER;MAS;PUESTO;MBIGUA A;;PUESTO;SAJONIA B;;PUESTO;MBIGUA C;;PUESTO;MBIGUA B;;PUESTO;SAJONIA A;;PUESTO;
;;;;;S;RODOLFO HIEBL;;S;OSCAR VALLEJOS;;S;VICTOR FERNANDEZ;;S;SERGIO ORTIZ;;S;DIEGO VILLASANTI;;S;
;;;;;3;GIOVANNI SCARPETTA;;3;RUBEN SOSA;;3;JUAN MARTINEZ;;3;FEDERICO KURN;;3;BENJAMIN REAL;;3;
;;;;;2;GUSTAVO HERREROS;;2;ANTONIO RUIZ DIAZ;;2;WILLIAM FELTES;;2;GUALBERTO CARDENAS;;2;ALDO BORDON;;2;
;;;;;1;JORGE VAZQUES;;1;JORGE CENTURION;;1;LUIS CASTILLO;;1;CARLOS LOPEZ MOREIRA;;1;LUIS TORRES;;1;
;;;;;Suplente 1;GREGORIO AGUILERA;;Suplente 1;RICARDO ALONSO;;Suplente 1;IVAN SILGUERO;;Suplente 1;;;Suplente 1;;;Suplente 1;
;;;;;Suplente 2;;;Suplente 2;JUAN JOSE NOGUERA;;Suplente 2;;;Suplente 2;;;Suplente 2;;;Suplente 2;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
2;;2-;JUNOR;MAS;PUESTO;SAJONIA;;PUESTO;PDRS;;PUESTO;MBIGUA;;PUESTO;;;PUESTO;;;PUESTO;
;;;;;S;RODRIGO AMARILLA;;S;DANIEL VILLALBA;;S;GUILLERMO FELTES;;S;;;S;;;S;
;;;;;B;JUAN NOGUERA ;;B;NICOLAS VILLALBA;;B;ANIBAL BRITEZ;;B;;;B;;;B;
;;;;;Suplente;;;Suplente;FABRICIO FELTEZ;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
3;;1X;JUNIOR;FEM;PUESTO;5° 1ra SERIE;;PUESTO;4° 1ra SERIE;;PUESTO;4° 2da SERIE;;PUESTO;;;PUESTO;;;PUESTO;
;;;FINAL B;;S;;;S;;;S;;;S;;;S;;;S;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
